compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz,atomic_base_mass,atomic_mz,rdkit_base_mass,rdkit_mz,atomic_difference,rdkit_difference,method_difference
Triethanolamine [M+K]+,Triethanolamine,,C6H15NO3,C6H15KNO3,potassiated,188.0689003445,149.10519334453,188.06890034453,,,2.998490344907623e-11,,
Triethanolamine [2M+H]+,Triethanolamine,,C12H30N2O6,C12H31N2O6,dimer_protonated,298.2103866891,298.21038668906,299.21821168906,,,1.0078249999600075,,
Triethanolamine [M-H2O+H]+,Triethanolamine,,C6H13NO2,C6H14NO2,dehydrated_protonated,131.0946286608,131.09462866082998,114.08680366082999,,,17.007824999970012,,
WPBG-027 fragment [M+H]+,WPBG-027 fragment,,C9H9NO2,C9H10NO2,protonated,164.0711535326,163.06332853255003,164.07115353255003,,,4.9965365178650245e-11,,
WPBG-027 fragment [M+NH4]+,WPBG-027 fragment,,C9H9NO2,C9H13N2O2,ammoniated,181.0971515326,163.06332853255003,181.09715153255004,,,4.9965365178650245e-11,,
WPBG-027 fragment [M+Na]+,WPBG-027 fragment,,C9H9NO2,C9H9NNaO2,sodiated,186.0530975326,163.06332853255003,186.05309753255003,,,4.9965365178650245e-11,,
WPBG-027 fragment [M+K]+,WPBG-027 fragment,,C9H9NO2,C9H9KNO2,potassiated,202.0270355326,163.06332853255003,202.02703553255003,,,4.9965365178650245e-11,,
WPBG-027 fragment [2M+H]+,WPBG-027 fragment,,C18H18N2O4,C18H19N2O4,dimer_protonated,326.1266570651,326.12665706510006,327.1344820651001,,,1.0078250000000821,,
Diphenylphosphine [M+H]+,Diphenylphosphine,,C12H11P,C12H12P,protonated,187.0676619828,186.05983698276998,187.06766198276998,,,3.001332515850663e-11,,
Diphenylphosphine [M+NH4]+,Diphenylphosphine,,C12H11P,C12H15NP,ammoniated,204.0936599828,186.05983698276998,204.09365998277,,,3.001332515850663e-11,,
Diphenylphosphine [M+Na]+,Diphenylphosphine,,C12H11P,C12H11NaP,sodiated,209.0496059828,186.05983698276998,209.04960598276998,,,3.001332515850663e-11,,
Diphenylphosphine [M+K]+,Diphenylphosphine,,C12H11P,C12H11KP,potassiated,225.0235439828,186.05983698276998,225.02354398276998,,,3.001332515850663e-11,,
Diphenylphosphine [2M+H]+,Diphenylphosphine,,C24H22P2,C24H23P2,dimer_protonated,372.1196739655,372.11967396553996,373.12749896554,,,1.0078250000399862,,
Diphenylphosphine oxide [M+H]+,Diphenylphosphine oxide,,C12H11OP,C12H12OP,protonated,203.0625766023,202.05475160233,203.06257660232998,,,2.998490344907623e-11,,
Diphenylphosphine oxide [M+NH4]+,Diphenylphosphine oxide,,C12H11OP,C12H15NOP,ammoniated,220.0885746023,202.05475160233,220.08857460233,,,2.998490344907623e-11,,
Diphenylphosphine oxide [M+Na]+,Diphenylphosphine oxide,,C12H11OP,C12H11NaOP,sodiated,225.0445206023,202.05475160233,225.04452060232998,,,2.998490344907623e-11,,
Diphenylphosphine oxide [M+K]+,Diphenylphosphine oxide,,C12H11OP,C12H11KOP,potassiated,241.0184586023,202.05475160233,241.01845860232999,,,2.998490344907623e-11,,
Diphenylphosphine oxide [2M+H]+,Diphenylphosphine oxide,,C24H22O2P2,C24H23O2P2,dimer_protonated,404.1095032047,404.10950320466,405.11732820466,,,1.0078249999600075,,
3-MPTMS [M+H]+,3-MPTMS,,C6H16O3SSi,C6H17O3SSi,protonated,197.0667669043,196.05894190429999,197.06676690429998,,,2.842170943040401e-14,,
3-MPTMS [M+NH4]+,3-MPTMS,,C6H16O3SSi,C6H20NO3SSi,ammoniated,214.0927649043,196.05894190429999,214.0927649043,,,0.0,,
3-MPTMS [M+Na]+,3-MPTMS,,C6H16O3SSi,C6H16NaO3SSi,sodiated,219.0487109043,196.05894190429999,219.04871090429998,,,2.842170943040401e-14,,
3-MPTMS [M+K]+,3-MPTMS,,C6H16O3SSi,C6H16KO3SSi,potassiated,235.0226489043,196.05894190429999,235.02264890429998,,,2.842170943040401e-14,,
3-MPTMS [2M+H]+,3-MPTMS,,C12H32O6S2Si2,C12H33O6S2Si2,dimer_protonated,392.1178838086,392.11788380859997,393.1257088086,,,1.0078249999999684,,
Diphenylphosphinic acid [M+H]+,Diphenylphosphinic acid,,C12H11O2P,C12H12O2P,protonated,219.0574912219,218.04966622189,219.05749122189,,,1.000444171950221e-11,,
Diphenylphosphinic acid [M+NH4]+,Diphenylphosphinic acid,,C12H11O2P,C12H15NO2P,ammoniated,236.0834892219,218.04966622189,236.08348922189,,,1.000444171950221e-11,,
Diphenylphosphinic acid [M+Na]+,Diphenylphosphinic acid,,C12H11O2P,C12H11NaO2P,sodiated,241.0394352219,218.04966622189,241.03943522189,,,1.000444171950221e-11,,
Diphenylphosphinic acid [M+K]+,Diphenylphosphinic acid,,C12H11O2P,C12H11KO2P,potassiated,257.0133732219,218.04966622189,257.01337322189,,,1.000444171950221e-11,,
Diphenylphosphinic acid [2M+H]+,Diphenylphosphinic acid,,C24H22O4P2,C24H23O4P2,dimer_protonated,436.0993324438,436.09933244378,437.10715744378,,,1.0078249999800164,,
Lead oxide [M+H]+,Lead oxide,204Pb,PbO,HOPb,protonated,224.9793917196,223.97156671956,224.97939171956,,,3.998934516857844e-11,,
Lead oxide [M+NH4]+,Lead oxide,204Pb,PbO,H4NOPb,ammoniated,242.0053897196,223.97156671956,242.00538971956001,,,3.998934516857844e-11,,
Lead oxide [M+Na]+,Lead oxide,204Pb,PbO,NaOPb,sodiated,246.9613357196,223.97156671956,246.96133571956,,,3.998934516857844e-11,,
Lead oxide [M+K]+,Lead oxide,204Pb,PbO,KOPb,potassiated,262.9352737196,223.97156671956,262.93527371956,,,4.001776687800884e-11,,
Lead oxide [2M+H]+,Lead oxide,204Pb,O2Pb2,HO2Pb2,dimer_protonated,447.9431334391,447.94313343912,448.95095843912003,59.993631714,61.001456714,1.0078250000200342,386.9416767251,387.94950172512006
Lead hydroxide [M+H]+,Lead hydroxide,204Pb,PbOH2,H3OPb,protonated,226.9950417837,225.9872167837,226.9950417837,,,0.0,,
Lead hydroxide [M+NH4]+,Lead hydroxide,204Pb,PbOH2,H6NOPb,ammoniated,244.0210397837,225.9872167837,244.02103978370002,,,2.842170943040401e-14,,
Lead hydroxide [M+Na]+,Lead hydroxide,204Pb,PbOH2,H2NaOPb,sodiated,248.9769857837,225.9872167837,248.9769857837,,,0.0,,
Lead hydroxide [M+K]+,Lead hydroxide,204Pb,PbOH2,H2KOPb,potassiated,264.9509237837,225.9872167837,264.9509237837,,,0.0,,
Lead hydroxide [2M+H]+,Lead hydroxide,204Pb,H4O2Pb2,H5O2Pb2,dimer_protonated,451.9744335674,451.9744335674,452.98225856740004,,,1.0078250000000253,,
PBG [M+H]+,PBG,,C14H17NO2,C14H18NO2,protonated,232.1337537891,231.12592878911,232.13375378911,,,9.976020010071807e-12,,
PBG [M+NH4]+,PBG,,C14H17NO2,C14H21N2O2,ammoniated,249.1597517891,231.12592878911,249.15975178911,,,1.000444171950221e-11,,
PBG [M+Na]+,PBG,,C14H17NO2,C14H17NNaO2,sodiated,254.1156977891,231.12592878911,254.11569778911,,,9.976020010071807e-12,,
PBG [M+K]+,PBG,,C14H17NO2,C14H17KNO2,potassiated,270.0896357891,231.12592878911,270.08963578911,,,1.000444171950221e-11,,
PBG [2M+H]+,PBG,,C28H34N2O4,C28H35N2O4,dimer_protonated,462.2518575782,462.25185757822,463.25968257822,,,1.0078250000200342,,
WPBG-027 [M+H]+,WPBG-027,,C14H17NO2,C14H18NO2,protonated,232.1337537891,231.12592878911,232.13375378911,,,9.976020010071807e-12,,
WPBG-027 [M+NH4]+,WPBG-027,,C14H17NO2,C14H21N2O2,ammoniated,249.1597517891,231.12592878911,249.15975178911,,,1.000444171950221e-11,,
WPBG-027 [M+Na]+,WPBG-027,,C14H17NO2,C14H17NNaO2,sodiated,254.1156977891,231.12592878911,254.11569778911,,,9.976020010071807e-12,,
WPBG-027 [M+K]+,WPBG-027,,C14H17NO2,C14H17KNO2,potassiated,270.0896357891,231.12592878911,270.08963578911,,,1.000444171950221e-11,,
WPBG-027 [2M+H]+,WPBG-027,,C28H34N2O4,C28H35N2O4,dimer_protonated,462.2518575782,462.25185757822,463.25968257822,,,1.0078250000200342,,
TBA+ [M+H]+,TBA+,,C16H36N,C16H37N,protonated,243.2926001593,242.28477515932,243.29260015932,,,1.9980461729574017e-11,,
TBA+ [M+NH4]+,TBA+,,C16H36N,C16H40N2,ammoniated,260.3185981593,242.28477515932,260.31859815932,,,2.000888343900442e-11,,
TBA+ [M+Na]+,TBA+,,C16H36N,C16H36NNa,sodiated,265.2745441593,242.28477515932,265.27454415932,,,2.000888343900442e-11,,
TBA+ [M+K]+,TBA+,,C16H36N,C16H36KN,potassiated,281.2484821593,242.28477515932,281.24848215932,,,2.000888343900442e-11,,
TBA+ [2M+H]+,TBA+,,C32H72N2,C32H73N2,dimer_protonated,484.5695503186,484.56955031864,485.57737531864,,,1.0078250000399862,,
1-Octadecene [M+H]+,1-Octadecene,,C18H36,C18H37,protonated,253.2895261545,252.28170115452,253.28952615452,,,1.9980461729574017e-11,,
1-Octadecene [M+NH4]+,1-Octadecene,,C18H36,C18H40N,ammoniated,270.3155241545,252.28170115452,270.31552415452,,,2.000888343900442e-11,,
1-Octadecene [M+Na]+,1-Octadecene,,C18H36,C18H36Na,sodiated,275.2714701545,252.28170115452,275.27147015452,,,2.000888343900442e-11,,
1-Octadecene [M+K]+,1-Octadecene,,C18H36,C18H36K,potassiated,291.2454081545,252.28170115452,291.24540815451996,,,1.9952040020143613e-11,,
1-Octadecene [2M+H]+,1-Octadecene,,C36H72,C36H73,dimer_protonated,504.5634023090,504.56340230904,505.57122730904,,,1.0078250000399862,,
Palmitic acid - H2O [M+H]+,Palmitic acid - H2O,,C16H30O,C16H31O,protonated,239.2374905817,238.22966558166002,239.23749058166,,,3.998934516857844e-11,,
Palmitic acid - H2O [M+NH4]+,Palmitic acid - H2O,,C16H30O,C16H34NO,ammoniated,256.2634885817,238.22966558166002,256.26348858166,,,4.001776687800884e-11,,
Palmitic acid - H2O [M+Na]+,Palmitic acid - H2O,,C16H30O,C16H30NaO,sodiated,261.2194345817,238.22966558166002,261.21943458166004,,,3.9960923459148034e-11,,
Palmitic acid - H2O [M+K]+,Palmitic acid - H2O,,C16H30O,C16H30KO,potassiated,277.1933725817,238.22966558166002,277.19337258166,,,3.9960923459148034e-11,,
Palmitic acid - H2O [2M+H]+,Palmitic acid - H2O,,C32H60O2,C32H61O2,dimer_protonated,476.4593311633,476.45933116332003,477.46715616332006,,,1.0078250000200342,,
Palmitic acid [M+H]+,Palmitic acid,,C16H32O2,C16H33O2,protonated,257.2480552654,256.24023026536,257.24805526536005,,,3.9960923459148034e-11,,
Palmitic acid [M+NH4]+,Palmitic acid,,C16H32O2,C16H36NO2,ammoniated,274.2740532654,256.24023026536,274.27405326536,,,4.001776687800884e-11,,
Palmitic acid [M+Na]+,Palmitic acid,,C16H32O2,C16H32NaO2,sodiated,279.2299992654,256.24023026536,279.22999926536005,,,3.9960923459148034e-11,,
Palmitic acid [M+K]+,Palmitic acid,,C16H32O2,C16H32KO2,potassiated,295.2039372654,256.24023026536,295.20393726536,,,3.9960923459148034e-11,,
Palmitic acid [2M+H]+,Palmitic acid,,C16H32O2,C32H65O4,dimer_protonated,256.2402302654,256.24023026536,257.24805526536005,,,1.0078249999600644,,
Palmitic acid [M-H2O+H]+,Palmitic acid,,C16H32O2,C16H31O,dehydrated_protonated,256.2402302654,256.24023026536,239.23240526536003,,,17.007825000039958,,
Palmitic acid [M-CO2+H]+,Palmitic acid,,C16H32O2,C15H33,decarboxylated_protonated,256.2402302654,256.24023026536,212.25040126536004,,,43.98982900003995,,
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H12PSe,protonated,266.9841832828,265.97635828277,266.98418328277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H15NPSe,ammoniated,284.0101812828,265.97635828277,284.01018128276996,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H11NaPSe,sodiated,288.9661272828,265.97635828277,288.96612728277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H11KPSe,potassiated,304.9400652828,265.97635828277,304.94006528277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,74Se,C24H22PSe2,C24H23PSe2,dimer_protonated,500.9789549355,500.97895493554,501.98677993554,,,1.007825000040043,,
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H12PSe,protonated,266.9841832828,265.97635828277,266.98418328277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H15NPSe,ammoniated,284.0101812828,265.97635828277,284.01018128276996,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H11NaPSe,sodiated,288.9661272828,265.97635828277,288.96612728277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H11KPSe,potassiated,304.9400652828,265.97635828277,304.94006528277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,76Se,C24H22PSe2,C24H23PSe2,dimer_protonated,500.9789549355,500.97895493554,501.98677993554,,,1.007825000040043,,
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H12PSe,protonated,266.9841832828,265.97635828277,266.98418328277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H15NPSe,ammoniated,284.0101812828,265.97635828277,284.01018128276996,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H11NaPSe,sodiated,288.9661272828,265.97635828277,288.96612728277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H11KPSe,potassiated,304.9400652828,265.97635828277,304.94006528277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,77Se,C24H22PSe2,C24H23PSe2,dimer_protonated,500.9789549355,500.97895493554,501.98677993554,,,1.007825000040043,,
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H12PSe,protonated,266.9841832828,265.97635828277,266.98418328277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H15NPSe,ammoniated,284.0101812828,265.97635828277,284.01018128276996,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H11NaPSe,sodiated,288.9661272828,265.97635828277,288.96612728277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H11KPSe,potassiated,304.9400652828,265.97635828277,304.94006528277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,78Se,C24H22PSe2,C24H23PSe2,dimer_protonated,500.9789549355,500.97895493554,501.98677993554,,,1.007825000040043,,
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H12PSe,protonated,266.9841832828,265.97635828277,266.98418328277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H15NPSe,ammoniated,284.0101812828,265.97635828277,284.01018128276996,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H11NaPSe,sodiated,288.9661272828,265.97635828277,288.96612728277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H11KPSe,potassiated,304.9400652828,265.97635828277,304.94006528277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,80Se,C24H22PSe2,C24H23PSe2,dimer_protonated,500.9789549355,500.97895493554,501.98677993554,,,1.007825000040043,,
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H12PSe,protonated,266.9841832828,265.97635828277,266.98418328277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H15NPSe,ammoniated,284.0101812828,265.97635828277,284.01018128276996,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H11NaPSe,sodiated,288.9661272828,265.97635828277,288.96612728277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H11KPSe,potassiated,304.9400652828,265.97635828277,304.94006528277,,,3.001332515850663e-11,,
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,82Se,C24H22PSe2,C24H23PSe2,dimer_protonated,500.9789549355,500.97895493554,501.98677993554,,,1.007825000040043,,
Linoleic acid [M+H]+,Linoleic acid,,C18H32O2,C18H35O2,protonated,281.2480552654,280.24023026536,281.24805526536005,,,3.9960923459148034e-11,,
Linoleic acid [M+NH4]+,Linoleic acid,,C18H32O2,C18H38NO2,ammoniated,298.2740532654,280.24023026536,298.27405326536,,,4.001776687800884e-11,,
Linoleic acid [M+Na]+,Linoleic acid,,C18H32O2,C18H34NaO2,sodiated,303.2299992654,280.24023026536,303.22999926536005,,,3.9960923459148034e-11,,
Linoleic acid [M+K]+,Linoleic acid,,C18H32O2,C18H34KO2,potassiated,319.2039372654,280.24023026536,319.20393726536,,,3.9960923459148034e-11,,
Linoleic acid [2M+H]+,Linoleic acid,,C18H32O2,C36H69O4,dimer_protonated,280.2402302654,280.24023026536,281.24805526536005,,,1.0078249999600644,,
Linoleic acid [M-H2O+H]+,Linoleic acid,,C18H32O2,C18H33O,dehydrated_protonated,280.2402302654,280.24023026536,263.23240526536,,,17.007825000039986,,
Linoleic acid [M-CO2+H]+,Linoleic acid,,C18H32O2,C17H35,decarboxylated_protonated,280.2402302654,280.24023026536,236.25040126536004,,,43.98982900003995,,
Oleic acid - H2O [M+H]+,Oleic acid - H2O,,C18H32O,C18H33O,protonated,265.2531406458,264.2453156458,265.25314064580004,,,5.684341886080802e-14,,
Oleic acid - H2O [M+NH4]+,Oleic acid - H2O,,C18H32O,C18H36NO,ammoniated,282.2791386458,264.2453156458,282.2791386458,,,0.0,,
Oleic acid - H2O [M+Na]+,Oleic acid - H2O,,C18H32O,C18H32NaO,sodiated,287.2350846458,264.2453156458,287.23508464580004,,,5.684341886080802e-14,,
Oleic acid - H2O [M+K]+,Oleic acid - H2O,,C18H32O,C18H32KO,potassiated,303.2090226458,264.2453156458,303.2090226458,,,0.0,,
Oleic acid - H2O [2M+H]+,Oleic acid - H2O,,C36H64O2,C36H65O2,dimer_protonated,528.4906312916,528.4906312916,529.4984562916001,,,1.0078250000000253,,
Linoleic acid - H2O [M+H]+,Linoleic acid - H2O,,C18H30O,C18H31O,protonated,263.2374905817,262.22966558166,263.23749058166004,,,3.9960923459148034e-11,,
Linoleic acid - H2O [M+NH4]+,Linoleic acid - H2O,,C18H30O,C18H34NO,ammoniated,280.2634885817,262.22966558166,280.26348858166,,,4.001776687800884e-11,,
Linoleic acid - H2O [M+Na]+,Linoleic acid - H2O,,C18H30O,C18H30NaO,sodiated,285.2194345817,262.22966558166,285.21943458166004,,,3.9960923459148034e-11,,
Linoleic acid - H2O [M+K]+,Linoleic acid - H2O,,C18H30O,C18H30KO,potassiated,301.1933725817,262.22966558166,301.19337258166,,,3.9960923459148034e-11,,
Linoleic acid - H2O [2M+H]+,Linoleic acid - H2O,,C36H60O2,C36H61O2,dimer_protonated,524.4593311633,524.45933116332,525.46715616332,,,1.0078250000200342,,
Palmitoleic acid [M+H]+,Palmitoleic acid,,C16H30O2,C18H35O2,protonated,255.2324052012,254.22458020122002,255.23240520122002,,,2.000888343900442e-11,,
Palmitoleic acid [M+NH4]+,Palmitoleic acid,,C16H30O2,C18H38NO2,ammoniated,272.2584032012,254.22458020122002,272.25840320122,,,2.000888343900442e-11,,
Palmitoleic acid [M+Na]+,Palmitoleic acid,,C16H30O2,C18H34NaO2,sodiated,277.2143492012,254.22458020122002,277.21434920122005,,,2.006572685786523e-11,,
Palmitoleic acid [M+K]+,Palmitoleic acid,,C16H30O2,C18H34KO2,potassiated,293.1882872012,254.22458020122002,293.18828720122,,,2.000888343900442e-11,,
Palmitoleic acid [2M+H]+,Palmitoleic acid,,C16H30O2,C36H69O4,dimer_protonated,254.2245802012,254.22458020122002,255.23240520122002,,,1.0078250000200057,,
Stearic acid [M+H]+,Stearic acid,,C18H36O2,C18H37O2,protonated,285.2793553936,284.27153039364,285.27935539364,,,4.001776687800884e-11,,
Stearic acid [M+NH4]+,Stearic acid,,C18H36O2,C18H40NO2,ammoniated,302.3053533936,284.27153039364,302.30535339363996,,,3.9960923459148034e-11,,
Stearic acid [M+Na]+,Stearic acid,,C18H36O2,C18H36NaO2,sodiated,307.2612993936,284.27153039364,307.26129939364,,,4.001776687800884e-11,,
Stearic acid [M+K]+,Stearic acid,,C18H36O2,C18H36KO2,potassiated,323.2352373936,284.27153039364,323.23523739364,,,3.9960923459148034e-11,,
Stearic acid [2M+H]+,Stearic acid,,C18H36O2,C36H73O4,dimer_protonated,284.2715303936,284.27153039364,285.27935539364,,,1.0078250000399862,,
Stearic acid [M-H2O+H]+,Stearic acid,,C18H36O2,C18H35O,dehydrated_protonated,284.2715303936,284.27153039364,267.26370539363995,,,17.007824999960064,,
