compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,74Se,C24H22PSe2,C24H23PSe2,dimer_protonated,490.2590132919495
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H12PSe,protonated,263.1170950379226
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H15NPSe,ammoniated,280.1476205114219
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H11NaPSe,sodiated,285.09892356492685
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H11KPSe,potassiated,301.20745540848964
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,76Se,C24H22PSe2,C24H23PSe2,dimer_protonated,494.2524876919495
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H12PSe,protonated,264.1177954379226
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H15NPSe,ammoniated,281.1483209114219
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H11NaPSe,sodiated,286.0996239649268
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H11KPSe,potassiated,302.2081558084896
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,77Se,C24H22PSe2,C24H23PSe2,dimer_protonated,496.2538884919495
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H12PSe,protonated,265.1151905379226
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H15NPSe,ammoniated,282.1457160114219
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H11NaPSe,sodiated,287.0970190649268
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H11KPSe,potassiated,303.2055509084896
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,78Se,C24H22PSe2,C24H23PSe2,dimer_protonated,498.2486786919495
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H12PSe,protonated,267.1144027379226
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H15NPSe,ammoniated,284.14492821142187
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H11NaPSe,sodiated,289.0962312649268
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H11KPSe,potassiated,305.2047631084896
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,80Se,C24H22PSe2,C24H23PSe2,dimer_protonated,502.2471030919495
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H12PSe,protonated,269.11458083792263
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H15NPSe,ammoniated,286.14510631142184
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H11NaPSe,sodiated,291.0964093649268
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H11KPSe,potassiated,307.2049412084896
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,82Se,C24H22PSe2,C24H23PSe2,dimer_protonated,506.2474592919495
Linoleic acid [M+H]+,Linoleic acid,,C18H34O2,C18H35O2,protonated,283.46998238237273
Linoleic acid [M+NH4]+,Linoleic acid,,C18H34O2,C18H38NO2,ammoniated,300.50050785587194
Linoleic acid [M+Na]+,Linoleic acid,,C18H34O2,C18H34NaO2,sodiated,305.451810909377
Linoleic acid [M+K]+,Linoleic acid,,C18H34O2,C18H34KO2,potassiated,321.56034275293973
Linoleic acid [2M+H]+,Linoleic acid,,C36H68O4,C36H69O4,dimer_protonated,565.9320240108497
Linoleic acid [M-H2O+H]+,Linoleic acid,,C18H32O,C18H33O,dehydrated_protonated,265.4546959474508
Linoleic acid [M-CO2+H]+,Linoleic acid,,C17H34,C17H35,decarboxylated_protonated,239.46043663134736
Oleic acid - H2O [M+H]+,Oleic acid - H2O,,C18H32O,C18H33O,protonated,265.4546959474508
Oleic acid - H2O [M+NH4]+,Oleic acid - H2O,,C18H32O,C18H36NO,ammoniated,282.48522142095
Oleic acid - H2O [M+Na]+,Oleic acid - H2O,,C18H32O,C18H32NaO,sodiated,287.436524474455
Oleic acid - H2O [M+K]+,Oleic acid - H2O,,C18H32O,C18H32KO,potassiated,303.54505631801777
Oleic acid - H2O [2M+H]+,Oleic acid - H2O,,C36H64O2,C36H65O2,dimer_protonated,529.9014511410057
Linoleic acid - H2O [M+H]+,Linoleic acid - H2O,,C18H30O,C18H31O,protonated,263.43881443965927
Linoleic acid - H2O [M+NH4]+,Linoleic acid - H2O,,C18H30O,C18H34NO,ammoniated,280.4693399131585
Linoleic acid - H2O [M+Na]+,Linoleic acid - H2O,,C18H30O,C18H30NaO,sodiated,285.4206429666635
Linoleic acid - H2O [M+K]+,Linoleic acid - H2O,,C18H30O,C18H30KO,potassiated,301.5291748102262
Linoleic acid - H2O [2M+H]+,Linoleic acid - H2O,,C36H60O2,C36H61O2,dimer_protonated,525.8696881254227
Palmitoleic acid [M+H]+,Palmitoleic acid,,C18H34O2,C18H35O2,protonated,283.46998238237273
Palmitoleic acid [M+NH4]+,Palmitoleic acid,,C18H34O2,C18H38NO2,ammoniated,300.50050785587194
Palmitoleic acid [M+Na]+,Palmitoleic acid,,C18H34O2,C18H34NaO2,sodiated,305.451810909377
Palmitoleic acid [M+K]+,Palmitoleic acid,,C18H34O2,C18H34KO2,potassiated,321.56034275293973
Palmitoleic acid [2M+H]+,Palmitoleic acid,,C36H68O4,C36H69O4,dimer_protonated,565.9320240108497
Stearic acid [M+H]+,Stearic acid,,C18H36O2,C18H37O2,protonated,285.48586389016424
Stearic acid [M+NH4]+,Stearic acid,,C18H36O2,C18H40NO2,ammoniated,302.51638936366345
Stearic acid [M+Na]+,Stearic acid,,C18H36O2,C18H36NaO2,sodiated,307.4676924171685
Stearic acid [M+K]+,Stearic acid,,C18H36O2,C18H36KO2,potassiated,323.57622426073124
Stearic acid [2M+H]+,Stearic acid,,C36H72O4,C36H73O4,dimer_protonated,569.9637870264328
Stearic acid [M-H2O+H]+,Stearic acid,,C18H34O,C18H35O,dehydrated_protonated,267.4705774552423
Stearic acid [M-CO2+H]+,Stearic acid,,C17H36,C17H37,decarboxylated_protonated,241.47631813913887
Stearic acid - H2O [M+H]+,Stearic acid - H2O,,C18H34O,C18H35O,protonated,267.4705774552423
Stearic acid - H2O [M+NH4]+,Stearic acid - H2O,,C18H34O,C18H38NO,ammoniated,284.5011029287415
Stearic acid - H2O [M+Na]+,Stearic acid - H2O,,C18H34O,C18H34NaO,sodiated,289.45240598224655
Stearic acid - H2O [M+K]+,Stearic acid - H2O,,C18H34O,C18H34KO,potassiated,305.5609378258093
Stearic acid - H2O [2M+H]+,Stearic acid - H2O,,C36H68O2,C36H69O2,dimer_protonated,533.9332141565887
Oleic acid [M+H]+,Oleic acid,,C18H34O2,C18H35O2,protonated,283.46998238237273
Oleic acid [M+NH4]+,Oleic acid,,C18H34O2,C18H38NO2,ammoniated,300.50050785587194
Oleic acid [M+Na]+,Oleic acid,,C18H34O2,C18H34NaO2,sodiated,305.451810909377
Oleic acid [M+K]+,Oleic acid,,C18H34O2,C18H34KO2,potassiated,321.56034275293973
Oleic acid [2M+H]+,Oleic acid,,C36H68O4,C36H69O4,dimer_protonated,565.9320240108497
Oleic acid [M-H2O+H]+,Oleic acid,,C18H32O,C18H33O,dehydrated_protonated,265.4546959474508
Oleic acid [M-CO2+H]+,Oleic acid,,C17H34,C17H35,decarboxylated_protonated,239.46043663134736
Lead acetate [M+H]+,Lead acetate,204Pb,PbC4H6O4,C4H7O4Pb,protonated,323.06919217285
Lead acetate [M+NH4]+,Lead acetate,204Pb,PbC4H6O4,C4H10NO4Pb,ammoniated,340.0997176463493
Lead acetate [M+Na]+,Lead acetate,204Pb,PbC4H6O4,C4H6NaO4Pb,sodiated,345.05102069985423
Lead acetate [M+K]+,Lead acetate,204Pb,PbC4H6O4,C4H6KO4Pb,potassiated,361.159552543417
Lead acetate [2M+H]+,Lead acetate,204Pb,C8H12O8Pb2,C8H13O8Pb2,dimer_protonated,645.1304435918044
TOP [M+H]+,TOP,,C24H51P,C24H52P,protonated,371.6443423549265
TOP [M+NH4]+,TOP,,C24H51P,C24H55NP,ammoniated,388.6748678284257
TOP [M+Na]+,TOP,,C24H51P,C24H51NaP,sodiated,393.62617088193076
TOP [M+K]+,TOP,,C24H51P,C24H51KP,potassiated,409.7347027254935
TOP [2M+H]+,TOP,,C48H102P2,C48H103P2,dimer_protonated,742.2807439559572
TOPO [M+H]+,TOPO,,C24H51OP,C24H52OP,protonated,387.64374728205695
TOPO [M+NH4]+,TOPO,,C24H51OP,C24H55NOP,ammoniated,404.67427275555616
TOPO [M+Na]+,TOPO,,C24H51OP,C24H51NaOP,sodiated,409.6255758090612
TOPO [M+K]+,TOPO,,C24H51OP,C24H51KOP,potassiated,425.73410765262395
TOPO [2M+H]+,TOPO,,C48H102O2P2,C48H103O2P2,dimer_protonated,774.2795538102181
Trioctylphosphine selenide [M+H]+,Trioctylphosphine selenide,74Se,C24H51PSe,C24H52PSe,protonated,445.5668187549265
Trioctylphosphine selenide [M+NH4]+,Trioctylphosphine selenide,74Se,C24H51PSe,C24H55NPSe,ammoniated,462.5973442284257
Trioctylphosphine selenide [M+Na]+,Trioctylphosphine selenide,74Se,C24H51PSe,C24H51NaPSe,sodiated,467.54864728193076
Trioctylphosphine selenide [M+K]+,Trioctylphosphine selenide,74Se,C24H51PSe,C24H51KPSe,potassiated,483.6571791254935
Trioctylphosphine selenide [2M+H]+,Trioctylphosphine selenide,74Se,C48H102PSe2,C48H103PSe2,dimer_protonated,859.1519351259572
Trioctylphosphine selenide [M+H]+,Trioctylphosphine selenide,76Se,C24H51PSe,C24H52PSe,protonated,447.5635559549265
Trioctylphosphine selenide [M+NH4]+,Trioctylphosphine selenide,76Se,C24H51PSe,C24H55NPSe,ammoniated,464.59408142842574
Trioctylphosphine selenide [M+Na]+,Trioctylphosphine selenide,76Se,C24H51PSe,C24H51NaPSe,sodiated,469.5453844819308
Trioctylphosphine selenide [M+K]+,Trioctylphosphine selenide,76Se,C24H51PSe,C24H51KPSe,potassiated,485.65391632549347
Trioctylphosphine selenide [2M+H]+,Trioctylphosphine selenide,76Se,C48H102PSe2,C48H103PSe2,dimer_protonated,863.1454095259571
Trioctylphosphine selenide [M+H]+,Trioctylphosphine selenide,77Se,C24H51PSe,C24H52PSe,protonated,448.5642563549265
Trioctylphosphine selenide [M+NH4]+,Trioctylphosphine selenide,77Se,C24H51PSe,C24H55NPSe,ammoniated,465.5947818284257
Trioctylphosphine selenide [M+Na]+,Trioctylphosphine selenide,77Se,C24H51PSe,C24H51NaPSe,sodiated,470.54608488193077
Trioctylphosphine selenide [M+K]+,Trioctylphosphine selenide,77Se,C24H51PSe,C24H51KPSe,potassiated,486.6546167254935
Trioctylphosphine selenide [2M+H]+,Trioctylphosphine selenide,77Se,C48H102PSe2,C48H103PSe2,dimer_protonated,865.1468103259572
Trioctylphosphine selenide [M+H]+,Trioctylphosphine selenide,78Se,C24H51PSe,C24H52PSe,protonated,449.5616514549265
Trioctylphosphine selenide [M+NH4]+,Trioctylphosphine selenide,78Se,C24H51PSe,C24H55NPSe,ammoniated,466.5921769284257
Trioctylphosphine selenide [M+Na]+,Trioctylphosphine selenide,78Se,C24H51PSe,C24H51NaPSe,sodiated,471.5434799819308
Trioctylphosphine selenide [M+K]+,Trioctylphosphine selenide,78Se,C24H51PSe,C24H51KPSe,potassiated,487.6520118254935
Trioctylphosphine selenide [2M+H]+,Trioctylphosphine selenide,78Se,C48H102PSe2,C48H103PSe2,dimer_protonated,867.1416005259572
TOPSe [M+H]+,TOPSe,,C24H51PSe,C24H52PSe,protonated,450.6037305950265
TOPSe [M+NH4]+,TOPSe,,C24H51PSe,C24H55NPSe,ammoniated,467.6342560685257
TOPSe [M+Na]+,TOPSe,,C24H51PSe,C24H51NaPSe,sodiated,472.58555912203076
TOPSe [M+K]+,TOPSe,,C24H51PSe,C24H51KPSe,potassiated,488.6940909655935
TOPSe [2M+H]+,TOPSe,,C48H102P2Se2,C48H103P2Se2,dimer_protonated,900.1995204361572
Trioctylphosphine selenide [M+H]+,Trioctylphosphine selenide,80Se,C24H51PSe,C24H52PSe,protonated,451.5608636549265
Trioctylphosphine selenide [M+NH4]+,Trioctylphosphine selenide,80Se,C24H51PSe,C24H55NPSe,ammoniated,468.5913891284257
Trioctylphosphine selenide [M+Na]+,Trioctylphosphine selenide,80Se,C24H51PSe,C24H51NaPSe,sodiated,473.54269218193076
Trioctylphosphine selenide [M+K]+,Trioctylphosphine selenide,80Se,C24H51PSe,C24H51KPSe,potassiated,489.6512240254935
Trioctylphosphine selenide [2M+H]+,Trioctylphosphine selenide,80Se,C48H102PSe2,C48H103PSe2,dimer_protonated,871.1400249259572
Trioctylphosphine selenide [M+H]+,Trioctylphosphine selenide,82Se,C24H51PSe,C24H52PSe,protonated,453.56104175492646
Trioctylphosphine selenide [M+NH4]+,Trioctylphosphine selenide,82Se,C24H51PSe,C24H55NPSe,ammoniated,470.5915672284257
Trioctylphosphine selenide [M+Na]+,Trioctylphosphine selenide,82Se,C24H51PSe,C24H51NaPSe,sodiated,475.54287028193073
Trioctylphosphine selenide [M+K]+,Trioctylphosphine selenide,82Se,C24H51PSe,C24H51KPSe,potassiated,491.6514021254935
Trioctylphosphine selenide [2M+H]+,Trioctylphosphine selenide,82Se,C48H102PSe2,C48H103PSe2,dimer_protonated,875.1403811259572
Lead [M+H]+,Lead,204Pb,PbI2,HI2Pb,protonated,458.7899303538958
Lead [M+NH4]+,Lead,204Pb,PbI2,H4I2NPb,ammoniated,475.820455827395
Lead [M+Na]+,Lead,204Pb,PbI2,I2NaPb,sodiated,480.77175888090005
Lead [M+K]+,Lead,204Pb,PbI2,I2KPb,potassiated,496.8802907244627
Lead [2M+H]+,Lead,204Pb,I4Pb2,HI4Pb2,dimer_protonated,916.5719199538958
Lead palmitate [M+H]+,Lead palmitate,,PbC32H62O4,C32H63O4Pb,protonated,719.0583435634173
Lead palmitate [M+NH4]+,Lead palmitate,,PbC32H62O4,C32H66NO4Pb,ammoniated,736.0888690369165
Lead palmitate [M+Na]+,Lead palmitate,,PbC32H62O4,C32H62NaO4Pb,sodiated,741.0401720904216
Lead palmitate [M+K]+,Lead palmitate,,PbC32H62O4,C32H62KO4Pb,potassiated,757.1487039339844
Lead palmitate [2M+H]+,Lead palmitate,,C64H124O8Pb2,C64H125O8Pb2,dimer_protonated,1437.1087463729389
Lead linoleate [M+H]+,Lead linoleate,204Pb,PbC36H62O4,C36H63O4Pb,protonated,763.8574230874751
Lead linoleate [M+NH4]+,Lead linoleate,204Pb,PbC36H62O4,C36H66NO4Pb,ammoniated,780.8879485609743
Lead linoleate [M+Na]+,Lead linoleate,204Pb,PbC36H62O4,C36H62NaO4Pb,sodiated,785.8392516144794
Lead linoleate [M+K]+,Lead linoleate,204Pb,PbC36H62O4,C36H62KO4Pb,potassiated,801.9477834580422
Lead linoleate [2M+H]+,Lead linoleate,204Pb,C72H124O8Pb2,C72H125O8Pb2,dimer_protonated,1526.7069054210544
Lead oleate [M+H]+,Lead oleate,204Pb,PbC36H66O4,C36H67O4Pb,protonated,767.8891861030581
Lead oleate [M+NH4]+,Lead oleate,204Pb,PbC36H66O4,C36H70NO4Pb,ammoniated,784.9197115765575
Lead oleate [M+Na]+,Lead oleate,204Pb,PbC36H66O4,C36H66NaO4Pb,sodiated,789.8710146300624
Lead oleate [M+K]+,Lead oleate,204Pb,PbC36H66O4,C36H66KO4Pb,potassiated,805.9795464736252
Lead oleate [2M+H]+,Lead oleate,204Pb,C72H132O8Pb2,C72H133O8Pb2,dimer_protonated,1534.7704314522207
3-Mercaptopropylsilanetriol [M+H]+,3-Mercaptopropylsilanetriol,,C3H10O3SSi,C3H11O3SSi,protonated,155.26805670588303
3-Mercaptopropylsilanetriol [M+NH4]+,3-Mercaptopropylsilanetriol,,C3H10O3SSi,C3H14NO3SSi,ammoniated,172.29858217938227
3-Mercaptopropylsilanetriol [M+Na]+,3-Mercaptopropylsilanetriol,,C3H10O3SSi,C3H10NaO3SSi,sodiated,177.24988523288727
3-Mercaptopropylsilanetriol [M+K]+,3-Mercaptopropylsilanetriol,,C3H10O3SSi,C3H10KO3SSi,potassiated,193.35841707645002
3-Mercaptopropylsilanetriol [2M+H]+,3-Mercaptopropylsilanetriol,,C6H20O6S2Si2,C6H21O6S2Si2,dimer_protonated,309.5281726578703
Hexamethylcyclotrisiloxane (D3) [M+H]+,Hexamethylcyclotrisiloxane (D3),,C6H18O3Si3,C6H19O3Si3,protonated,223.4700006052542
Hexamethylcyclotrisiloxane (D3) [M+NH4]+,Hexamethylcyclotrisiloxane (D3),,C6H18O3Si3,C6H22NO3Si3,ammoniated,240.50052607875347
Hexamethylcyclotrisiloxane (D3) [M+Na]+,Hexamethylcyclotrisiloxane (D3),,C6H18O3Si3,C6H18NaO3Si3,sodiated,245.45182913225844
Hexamethylcyclotrisiloxane (D3) [M+K]+,Hexamethylcyclotrisiloxane (D3),,C6H18O3Si3,C6H18KO3Si3,potassiated,261.5603609758212
Hexamethylcyclotrisiloxane (D3) [2M+H]+,Hexamethylcyclotrisiloxane (D3),,C12H36O6Si6,C12H37O6Si6,dimer_protonated,445.93206045661265
Octamethylcyclotetrasiloxane (D4) [M+H]+,Octamethylcyclotetrasiloxane (D4),,C8H24O4Si4,C8H25O4Si4,protonated,297.62402055570703
Octamethylcyclotetrasiloxane (D4) [M+NH4]+,Octamethylcyclotetrasiloxane (D4),,C8H24O4Si4,C8H28NO4Si4,ammoniated,314.6545460292063
Octamethylcyclotetrasiloxane (D4) [M+Na]+,Octamethylcyclotetrasiloxane (D4),,C8H24O4Si4,C8H24NaO4Si4,sodiated,319.60584908271125
Octamethylcyclotetrasiloxane (D4) [M+K]+,Octamethylcyclotetrasiloxane (D4),,C8H24O4Si4,C8H24KO4Si4,potassiated,335.71438092627403
Octamethylcyclotetrasiloxane (D4) [2M+H]+,Octamethylcyclotetrasiloxane (D4),,C16H48O8Si8,C16H49O8Si8,dimer_protonated,594.2401003575183
Decamethylcyclopentasiloxane (D5) [M+H]+,Decamethylcyclopentasiloxane (D5),,C10H30O5Si5,C10H31O5Si5,protonated,371.77804050615987
Decamethylcyclopentasiloxane (D5) [M+NH4]+,Decamethylcyclopentasiloxane (D5),,C10H30O5Si5,C10H34NO5Si5,ammoniated,388.8085659796591
Decamethylcyclopentasiloxane (D5) [M+Na]+,Decamethylcyclopentasiloxane (D5),,C10H30O5Si5,C10H30NaO5Si5,sodiated,393.759869033164
Decamethylcyclopentasiloxane (D5) [M+K]+,Decamethylcyclopentasiloxane (D5),,C10H30O5Si5,C10H30KO5Si5,potassiated,409.8684008767268
Decamethylcyclopentasiloxane (D5) [2M+H]+,Decamethylcyclopentasiloxane (D5),,C20H60O10Si10,C20H61O10Si10,dimer_protonated,742.5481402584239
Diethylene glycol [M+H]+,Diethylene glycol,,C4H10O3,C4H11O3,protonated,107.1285066613026
Diethylene glycol [M+NH4]+,Diethylene glycol,,C4H10O3,C4H14NO3,ammoniated,124.15903213480183
Diethylene glycol [M+Na]+,Diethylene glycol,,C4H10O3,C4H10NaO3,sodiated,129.11033518830683
Diethylene glycol [M+K]+,Diethylene glycol,,C4H10O3,C4H10KO3,potassiated,145.2188670318696
Diethylene glycol [2M+H]+,Diethylene glycol,,C8H20O6,C8H21O6,dimer_protonated,213.2490725687094
Diethylene glycol [M-H2O+H]+,Diethylene glycol,,C4H8O2,C4H9O2,dehydrated_protonated,89.1132202263806
Triethylene glycol [M+H]+,Triethylene glycol,,C6H14O4,C6H15O4,protonated,151.181146397545
Triethylene glycol [M+NH4]+,Triethylene glycol,,C6H14O4,C6H18NO4,ammoniated,168.21167187104427
Triethylene glycol [M+Na]+,Triethylene glycol,,C6H14O4,C6H14NaO4,sodiated,173.16297492454925
Triethylene glycol [M+K]+,Triethylene glycol,,C6H14O4,C6H14KO4,potassiated,189.271506768112
Triethylene glycol [2M+H]+,Triethylene glycol,,C12H28O8,C12H29O8,dimer_protonated,301.35435204119426
Triethylene glycol [M-H2O+H]+,Triethylene glycol,,C6H12O3,C6H13O3,dehydrated_protonated,133.16585996262302
TBA fragment C12H28N [M+H]+,TBA fragment C12H28N,,C12H28N,C12H29N,protonated,187.36581583596248
TBA fragment C12H28N [M+NH4]+,TBA fragment C12H28N,,C12H28N,C12H32N2,ammoniated,204.39634130946175
TBA fragment C12H28N [M+Na]+,TBA fragment C12H28N,,C12H28N,C12H28NNa,sodiated,209.34764436296672
TBA fragment C12H28N [M+K]+,TBA fragment C12H28N,,C12H28N,C12H28KN,potassiated,225.45617620652948
TBA fragment C12H28N [2M+H]+,TBA fragment C12H28N,,C24H56N2,C24H57N2,dimer_protonated,373.7236909180292
TBA fragment C6H14N [M+H]+,TBA fragment C6H14N,,C6H14N,C6H15N,protonated,101.1902299008351
TBA fragment C6H14N [M+NH4]+,TBA fragment C6H14N,,C6H14N,C6H18N2,ammoniated,118.22075537433436
TBA fragment C6H14N [M+Na]+,TBA fragment C6H14N,,C6H14N,C6H14NNa,sodiated,123.17205842783935
TBA fragment C6H14N [M+K]+,TBA fragment C6H14N,,C6H14N,C6H14KN,potassiated,139.2805902714021
TBA fragment C6H14N [2M+H]+,TBA fragment C6H14N,,C12H28N2,C12H29N2,dimer_protonated,201.37251904777446
